Population	Weigth	Value
10	69,0	-1,0
11	74,4	-1,0
12	71,0	-1,0
13	55,1	11,9
14	63,4	2,7
15	54,2	6,3
16	47,6	10,2
17	54,2	9,1
18	61,7	3,5
19	63,9	2,0
20	45,4	10,3
21	67,6	6,0
22	56,0	9,6
23	49,2	11,8
24	59,2	4,8
25	47,1	15,8
26	42,2	17,0
27	58,2	5,5
28	50,3	10,1
29	35,9	19,4
30	46,8	17,4
31	55,0	9,5
32	35,3	20,0
33	55,5	10,8
34	30,3	22,2
35	42,5	17,9
36	43,7	13,9
37	52,1	13,9
38	51,3	13,3
39	33,1	21,5
40	33,0	21,7
41	37,3	16,6
42	35,3	26,1
43	41,9	18,4
44	28,2	22,3
45	44,2	18,0
46	38,6	21,3
47	54,2	12,0
48	33,0	23,3
49	35,0	19,1
50	40,8	19,4
51	33,4	18,7
52	39,0	22,8
53	40,5	16,1
54	41,9	17,6
55	35,2	18,5
56	47,9	16,5
57	38,3	21,6
58	29,3	28,5
59	24,9	31,4
60	27,4	29,6
61	35,6	19,4
62	38,8	21,5
63	39,0	20,5
64	36,5	20,7
65	31,7	19,1
66	38,2	20,1
67	25,5	24,8
68	34,9	19,3
69	27,9	26,5
70	22,8	29,6
71	37,0	22,0
72	37,9	22,9
73	36,3	25,2
74	42,1	20,1
75	28,6	28,5
76	26,8	28,4
77	31,3	29,2
78	24,3	31,4
79	30,5	25,7
80	24,4	31,4
81	28,5	28,9
82	36,9	21,3
83	36,6	25,2
84	27,2	26,2
85	27,5	28,7
86	38,1	20,6
87	32,6	26,9
88	24,3	30,6
89	26,2	28,4
90	27,8	28,2
91	30,3	21,4
92	23,1	31,5
93	26,9	29,2
94	23,8	30,0
95	24,2	31,4
96	23,7	34,0
97	28,8	29,8
98	23,8	33,6
99	26,9	29,2
100	24,3	29,1
101	25,6	28,2
102	22,5	32,0
103	33,8	21,6
104	31,1	30,4
105	39,5	24,8
106	24,0	31,5
107	24,3	33,0
108	23,7	33,5
109	24,7	34,9
110	24,1	33,5
111	29,3	28,6
112	24,3	34,6
113	23,2	32,9
114	24,2	33,4
115	24,0	34,2
116	35,0	25,2
117	23,6	33,1
118	28,5	26,6
119	27,9	28,6
120	30,8	31,4
121	27,5	30,4
122	30,1	27,7
123	23,8	33,5
124	23,5	32,3
125	23,9	31,3
126	28,4	28,5
127	27,5	29,8
128	23,5	31,6
129	31,3	28,6
130	27,9	29,3
131	24,7	36,6
132	23,7	32,4
133	23,9	34,0
134	27,1	29,6
135	30,7	29,6
136	23,6	33,2
137	24,0	34,1
138	29,6	30,8
139	27,6	29,5
140	24,3	32,1
141	24,1	33,3
142	24,4	32,8
143	24,4	34,6
144	24,0	34,6
145	24,3	36,0
146	28,1	28,5
147	24,1	31,8
148	24,4	32,8
149	29,9	31,0
150	23,4	33,4
151	23,7	32,6
152	24,3	35,1
153	24,5	35,0
154	23,9	34,3
155	23,7	34,4
156	23,4	32,7
157	24,6	35,0
158	24,1	32,9
159	23,6	33,7
160	24,0	30,9
161	24,4	35,8
162	23,7	30,5
163	31,8	29,6
164	23,3	35,2
165	24,5	34,9
166	24,3	31,4
167	24,9	36,1
168	24,2	31,9
169	24,3	34,9
170	23,0	34,4
171	24,7	35,8
172	30,9	31,0
173	24,6	35,8
174	24,4	35,4
175	24,2	33,5
176	23,9	35,5
177	24,6	32,5
178	24,2	35,1
179	24,0	34,9
180	24,8	36,9
181	23,8	34,0
182	24,1	36,2
183	23,8	36,1
184	24,3	35,5
185	24,3	35,0
186	24,4	35,0
187	24,8	33,9
188	24,0	34,7
189	24,6	34,7
190	24,4	34,1
191	24,2	36,2
192	31,4	31,0
193	24,1	35,9
194	24,6	33,5
195	24,4	33,3
196	24,2	35,6
197	24,0	33,7
198	24,3	34,5
199	24,2	36,5
200	23,4	35,1
201	23,9	35,3
202	23,5	36,3
203	23,3	34,9
204	24,4	37,4
205	24,0	35,6
206	24,2	34,8
207	24,9	35,7
208	24,5	36,6
209	29,5	31,7
210	24,5	36,4
211	24,2	35,7
212	24,6	35,8
213	23,9	35,8
214	24,6	36,5
215	24,1	37,2
216	24,6	36,8
217	24,4	36,4
218	24,6	34,7
219	24,3	35,1
220	24,8	36,0
221	24,6	33,9
222	24,4	35,8
223	24,0	36,1
224	23,9	35,4
225	24,4	36,5
226	23,5	35,6
227	24,8	34,3
228	24,3	35,3
229	24,6	36,4
230	26,3	31,7
231	24,8	36,7
232	24,5	34,6
233	24,4	35,4
234	23,8	34,4
235	23,0	35,1
236	24,2	37,7
237	24,3	36,6
238	23,4	35,4
239	24,1	35,6
240	24,5	35,0
241	24,0	34,4
242	24,1	38,1
243	24,5	36,2
244	24,8	37,1
245	24,3	35,7
246	24,6	36,3
247	23,9	36,8
248	24,2	37,1
249	24,2	35,7
250	24,1	36,8
251	24,2	36,3
252	23,9	35,1
253	24,1	36,8
254	24,8	35,9
255	24,7	36,6
256	24,5	36,3
257	24,4	35,7
258	24,7	37,6
259	24,2	37,2
260	24,1	36,3
261	24,1	35,7
262	24,9	36,2
263	24,5	36,0
264	24,0	37,3
265	23,9	36,0
266	24,4	36,5
267	24,5	37,4
268	23,3	36,5
269	24,0	37,5
270	24,7	37,1
271	23,8	36,1
272	24,8	35,9
273	24,7	37,1
274	24,7	37,3
275	24,4	36,7
276	24,3	37,5
277	24,5	36,4
278	24,4	35,9
279	24,8	36,6
280	24,0	36,2
281	23,7	36,8
282	24,5	36,8
283	24,7	37,9
284	24,6	37,2
285	24,1	35,6
286	23,7	36,9
287	24,3	36,4
288	24,2	37,0
289	24,3	37,2
290	24,3	36,3
291	24,4	37,6
292	24,3	37,0
293	25,0	38,0
294	23,9	35,6
295	24,4	35,8
296	24,6	36,6
297	24,9	35,8
298	23,9	36,9
299	23,7	37,7
